,Star_name,Distance,Mass,Radius
147,89,Hydra,23.53,0.059184456
148,90,Hydra,43.0,0.061093632
149,92,Pyxis,50.0,0.0477294
150,94,Leo,20.0,0.040092696000000004
151,95,Antlia,17.4,0.030546816
152,96,Hydra,59.0,0.046774812
153,98,Sextans,55.0,0.048683988000000004
154,101,Ursa Major,60.0,0.025773876
155,102,Antlia,53.0,0.046774812
156,103,Leo,34.4,0.040092696000000004
157,104,Antlia,13.15,0.073503276
158,105,Vela,6.516,0.041047284
159,106,Vela,6.516,0.03818352
160,107,Crater,49.0,0.061093632
161,109,Chamaeleon,163.0,0.007636704
162,112,Hydra,18.2,0.031501404000000004
163,115,Hydra,129.0,0.035319756
164,116,Centaurus,31.0,0.061093632
165,120,Virgo,36.0,0.040092696000000004
166,123,Draco,45.6,0.039138108
167,126,Virgo,38.0,0.044865636
168,127,Hydra,61.0,0.060139044
169,128,Hydra,61.0,0.055366104
170,130,Virgo,65.0,0.048683988000000004
171,131,Virgo,48.0,0.042001872
172,134,Boötes,149.0,0.056320692
173,135,Centaurus,38.0,0.020046348000000002
174,136,Boötes,38.5,0.072548688
175,139,Boötes,47.0,0.056320692
176,140,Boötes,104.0,0.0105959268
177,141,Boötes,104.0,0.008591292
178,142,Boötes,35.1,0.07159410000000001
179,143,Boötes,20.7,0.042001872
180,145,Boötes,46.0,0.065866572
181,146,Libra,23.9,0.057275280000000005
182,149,Boötes,34.0,0.054411516
183,150,Serpens,67.0,0.051547752
184,151,Libra,51.0,0.060139044
185,152,Lupus,37.0,0.042001872
186,153,Corona Borealis,68.0,0.028637640000000002
187,154,Libra,44.0,0.067775748
188,155,Hercules,48.0,0.040092696000000004
189,156,Serpens,36.0,0.041047284
190,157,Hercules,110.0,0.067775748
191,158,Hercules,50.0,0.046774812
192,160,Draco,60.0,0.069684924
193,165,Lyra,18.5,0.073503276
194,173,Capricornus,80.0,0.0062048220000000005
195,175,Aquarius,32.1,0.043911048
196,181,Grus,35.0,0.040092696000000004
197,225,Taurus,20.0,0.005727528
198,229,Camelopardalis,35.9,0.014318820000000001
199,230,Camelopardalis,35.9,0.00954588
200,284,Ursa Major,25.3,0.028637640000000002
